Unnamed: 0,_id,Memory (RAM),Screen size,Weight,Hard drives,Size (length x width x height),Price,CPU Score,GPU Score,Game,Van Phong,Do Hoa,Lap Trinh,Doanh Nhan
6116,6589cf618997406b55ed8d7a,32,16.0,2.68,1000,128.904574,69576000.0,31343,34630,1,0,1,0,0
6117,6589cf618997406b55ed8d7d,32,17.3,2.72,2000,320.0,88056000.0,15486,23757,1,0,1,0,0
6118,6589cf618997406b55ed8d7f,16,16.0,1.3,8000,88.023672,64776000.0,12205,7041,0,1,0,1,0
6120,6589cf628997406b55ed8d83,32,17.3,2.72,2000,180.261948,53256000.0,16894,17090,1,0,1,0,0
6121,6589cf628997406b55ed8d84,32,14.0,1.12,2000,65.33208,35999760.0,9960,2690,0,0,0,1,0
6122,6589cf628997406b55ed8d87,16,17.3,2.6,1000,161.5645,32376000.0,17509,14693,1,0,0,0,0
6123,6589cf628997406b55ed8d8c,16,15.6,2.2,4000,134.972656,40296000.0,15486,19573,0,0,1,0,0
6126,6589cf638997406b55ed8d92,24,14.0,1.68,1000,80.645705,26399760.0,15486,2690,0,0,1,0,0
6127,6589cf638997406b55ed8d96,16,15.6,2.3,0,135.052056,30696000.0,9513,17090,1,0,0,0,0
6129,6589cf638997406b55ed8d98,32,15.6,2.72,1000,135.47844,41976000.0,12390,22459,1,0,0,0,0
6130,6589cf648997406b55ed8d9c,16,13.3,1.27,500,84.0,20159760.0,5125,2690,0,1,0,1,0
6131,6589cf648997406b55ed8d9d,16,14.0,1.29,1000,105.0,43224000.0,2204,7869,0,1,0,0,0
6133,6589cf648997406b55ed8da1,16,17.0,1.35,1000,107.30496,28247760.0,12205,2690,0,1,0,1,0
6136,6589cf658997406b55ed8da8,64,15.6,1.83,1000,99.70814,29016000.0,5125,2690,0,0,1,0,0
6142,6589cf668997406b55ed8db3,16,15.6,2.3,1000,136.27848,17136000.0,12434,12960,1,0,0,0,0
6143,6589cf668997406b55ed8db4,64,17.3,2.72,4000,151.9392,47976000.0,15486,10181,1,0,0,0,0
6144,6589cf668997406b55ed8db5,64,17.3,2.72,2000,175.46499,23976000.0,8648,7869,1,0,0,0,0
6145,6589cf668997406b55ed8db8,64,15.6,1.68,3000,97.29,34319760.0,8110,2690,0,0,1,0,0
6146,6589cf668997406b55ed8db9,64,17.3,2.72,2000,178.425828,55176000.0,12390,17090,1,0,0,0,0
6147,6589cf668997406b55ed8dba,16,15.6,2.31,1000,127.743024,21096000.0,12159,12960,1,0,0,0,0
6149,6589cf668997406b55ed8dbc,16,14.0,1.7,1000,139.12428,33552000.0,15486,17090,1,0,1,0,0
