_id,Processor (CPU),Graphics card (GPU),Memory (RAM),Screen size,Screen resolution,Weight,Hard drives,Size (length x width x height),Operating system (OS),Release date,Amazon.com Lowest New Price,Name
6589cd448997406b55ed72df,Intel Core i5-13500H,GeForce RTX 4050,64gb,16″,WUXGA(1920 x 1200 pixels),5.73 lbs(2.6 kg),2000gb SSD,14.16 x 10.93 x 0.83 inches,Windows 11 Home,"October 5, 2023","$1,239.00",Lenovo LOQ 16″ (IdeaPad)
6589cd448997406b55ed72e0,Intel Core i7-12700H,GeForce RTX 3060,16gb,15.6″,4k(3840 x 2160 pixels),5.2 lbs(2.36 kg),2000gb SSD,14.2 x 9.8 x 0.8 inches,Windows 11 Pro,"August 27, 2023","$1,999.99",ASUS ZenBook Pro Duo 15 (ZenBook)
6589cd448997406b55ed72e1,AMD Ryzen 7 7735HS,GeForce RTX 4050,32gb,17.3″,Full HD(1920 x 1080 pixels),5.73 lbs(2.6 kg),1000gb SSD,15.55 x 10.39 x 1 inches,Windows 11 Home,"April 14, 2023","$1,329.00",HIDevolution 2023 ASUS TUF 17″ (FA707NU-DS74-HID6)
6589cd448997406b55ed72e2,Intel Core i5-8350U,Intel UHD Graphics 620,16gb,12.5″,HD(1366 x 768 pixels),3.88 lbs(1.76 kg),250gb SSD,12 x 8.19 x 0.65 inches,Windows 11 Pro,"December 28, 2022",$246.20,Dell Latitude 12″ (7290)
6589cd448997406b55ed72e3,Intel Core i7 Series,GeForce RTX 3070,-16gb,15.6″,Full HD(1920 x 1080 pixels),4.4 lbs(2 kg),1000gb SSD,13.98 x 9.25 x 0.62 inches,Windows 11,"May 25, 2021","$2,621.27",Razer Blade 15 (RZ09-0409BEC3-R3U1)
6589cd458997406b55ed72e4,AMD Ryzen 5 7520U,,8gb,15.6″,Full HD(1920 x 1080 pixels),3.92 lbs(1.78 kg),1000gb SSD,14.29 x 9.35 x 0.74 inches,Windows 11 Home,"July 15, 2023",$499.99,Acer Aspire 3 15″ (Aspire 3)
6589cd458997406b55ed72e5,Intel Core i3-1115G4,Intel UHD Graphics,64gb,17.3″,HD Plus(1600 x 900 pixels),4.25 lbs(1.93 kg),2000gb SSD,16.33 x 10.72 x 0.96 inches,Windows 11,"July 20, 2023",$719.00,HP Pavilion 17″ (17-cn0003dx)
6589cd458997406b55ed72e6,Intel Core i7-13620H,GeForce RTX 4070,64gb,16″,WUXGA(1920 x 1200 pixels),4.4 lbs(2 kg),4000gb SSD,14 x 10.22 x 0.85 inches,Windows 11 Pro,"December 2, 2023","$3,119.99",MSI Stealth 16 Studio
6589cd458997406b55ed72e7,Intel Core i7-12650H,GeForce RTX 4060,16gb,15.6″,Full HD(1920 x 1080 pixels),4.37 lbs(1.98 kg),2000gb SSD,14.15 x 9.86 x 0.9 inches,Windows 11 Home,"December 23, 2023","$1,259.00",EXcaliberPC MSI 15″ (Cyborg)
6589cd458997406b55ed72e8,Intel Core i7-1355U,Intel Iris Xe,16gb,15.6″,Full HD(1920 x 1080 pixels),4.07 lbs(1.85 kg),500gb SSD,14.1 x 9.1 x 0.65 inches,Windows 11 Home,"March 28, 2022",$819.00,HP Pavilion 15″ (1V7U4UA-3187)
6589cd458997406b55ed72e9,Intel Core i7 Series,,8gb,14″,,3.26 lbs(1.48 kg),250gb SSD,12.8 x 9.2 x 0.7 inches,Windows,"October 3, 2018","$1,499.99",HP 3RF12UT 14″ (ABA)
