_id,Processor (CPU),Graphics card (GPU),Memory (RAM),Screen size,Screen resolution,Weight,Hard drives,Size (length x width x height),Operating system (OS),Release date,Amazon.com Lowest New Price,Name
6589cba38997406b55ed5eab,Intel Core i7-12700H,GeForce RTX 3070 Ti,64gb,17.3″,Full HD(1920 x 1080 pixels),6 lbs(2.72 kg),4000gb SSD,16 x 10 x 2 inches,Windows 11 Pro,"April 18, 2023","$4,679.00",Gigabyte AORUS 17 XE4
6589cba38997406b55ed5eac,Intel Core i5-1135G7,Intel Iris Xe,12gb,15.6″,Full HD(1920 x 1080 pixels),3.75 lbs(1.7 kg),250gb SSD,14.26 x 9.98 x 0.78 inches,Windows 11 Home,"February 25, 2022",$554.99,Lenovo IdeaPad 3 15″ (IdeaPad)
6589cba38997406b55ed5eaf,Intel Core i7-12700H,GeForce RTX 3070 Ti,64gb,16″,WQUXGA(3840 x 2400 pixels),5 lbs(2.27 kg),2000gb SSD,14.02 x 9.78 x 0.88 inches,Windows 11 Pro,"April 18, 2023","$2,364.00",Gigabyte AERO 16
6589cba38997406b55ed5eb0,Intel Core i5-10300H,GeForce GTX 1650,16gb,15.6″,Full HD(1920 x 1080 pixels),5.07 lbs(2.3 kg),500gb SSD,,Windows 11,"March 8, 2022",$829.00,ASUS TUF F15 144Hz
6589cba38997406b55ed5eb1,Intel Pentium Gold 7505,,20gb,15.6″,Full HD(1920 x 1080 pixels),3.74 lbs(1.7 kg),120gb SSD,14 x 9.8 x 0.78 inches,Windows 11 Home,"March 10, 2022",$479.00,Lenovo ideaPad 3i 15″ (82H801GGUS)
6589cba38997406b55ed5eb2,Intel Core i7-12650H,GeForce RTX 3050,16gb,15.6″,Full HD(1920 x 1080 pixels),4.1 lbs(1.86 kg),1000gb SSD,14.13 x 9.99 x 0.85 inches,Windows 11 Home,"November 18, 2023",$979.00,EXcaliberPC MSI 15″ (Thin)
6589cba38997406b55ed5eae,Intel Core i7-1255U,Intel Iris Xe,64gb,17.3″,Full HD(1920 x 1080 pixels),3.32 lbs(1.51 kg),2000gb SSD,15.71 x 10.2 x 0.78 inches,Windows 11 Pro,"December 18, 2022","$1,129.99",HP Envy 17″ (61D26UA)
6589cba38997406b55ed5ead,Intel Core i3-1115G4,Intel UHD Graphics,16gb,17.3″,Full HD(1920 x 1080 pixels),5.25 lbs(2.38 kg),500gb SSD,16.33 x 10.72 x 0.96 inches,Windows 11 Home,"April 22, 2023",$669.00,HP Windows 11 17″ (17)
6589cba38997406b55ed5eb6,Intel Core i7-1165G7,,32gb,17.3″,Full HD(1920 x 1080 pixels),,500gb SSD,,Windows 11 Pro,"March 12, 2022","$1,249.00",HP Envy 17″
6589cba38997406b55ed5eb5,Intel Core i7-10750H,GeForce RTX 2060,16gb,15.6″,Full HD(1920 x 1080 pixels),4.63 lbs(2.1 kg),1000gb SSD,14.29 x 10 x 0.78 inches,Windows 10 Home,"August 11, 2020","$1,495.00",Acer Predator Triton 300 15″ (NH.Q7BAA.001)
6589cba38997406b55ed5eb3,Intel Core i5-6300U,,8gb,14″,,5 lbs(2.27 kg),500gb SSD,,Windows 10 Pro,"April 17, 2020",$194.68,Dell Latitude E5470 14″ (NB-DL-LATITUDEE5470-NB-i5-2.4-8-512SSD)
6589cba38997406b55ed5eb4,AMD Ryzen 7 5700U,,16gb,14″,Quad HD(2560 x 1440 pixels),3.42 lbs(1.55 kg),1000gb SSD,12.32 x 8.85 x 0.7 inches,Windows 11 Pro,"August 5, 2023",$788.99,Lenovo Flex 5 14″ (Flex)
6589cba58997406b55ed5eb8,Intel Core i7-1260P,,32gb,16″,WUXGA(1920 x 1200 pixels),6.5 lbs(2.95 kg),1000gb SSD,14.3 x 10.1 x 0.98 inches,,"March 18, 2023","$2,159.00",Lenovo ThinkPad P16s G1 (21BT001MUS)
6589cba58997406b55ed5eb7,AMD Ryzen 5 5500U,,16gb,17.3″,Full HD(1920 x 1080 pixels),5.2 lbs(2.36 kg),1000gb SSD,16.33 x 10.72 x 0.96 inches,Windows 11,"September 5, 2021",$599.00,HP 17-BY30
6589cba58997406b55ed5eb9,AMD Ryzen 7 4800H,GeForce RTX 3060,64gb,15.6″,Full HD(1920 x 1080 pixels),5.07 lbs(2.3 kg),2000gb SSD,13.94 x 10.2 x 0.89 inches,Windows 11 Pro,"September 1, 2023","$1,559.00",ASUS ROG Strix G15 (G513IM)
6589cba58997406b55ed5eba,Intel Core i5-1235U,Intel Iris Xe,16gb,14″,WUXGA(1920 x 1200 pixels),2.87 lbs(1.3 kg),1000gb SSD,12.51 x 8.93 x 0.7 inches,Windows 11 Pro,"January 6, 2023","$1,099.99",Lenovo ThinkPad T14 (ThinkPad)
6589cba58997406b55ed5ebb,Intel Pentium Series,,4gb,15.6″,Full HD(1920 x 1080 pixels),4.2 lbs(1.91 kg),250gb SSD,14.8 x 9.6 x 0.8 inches,Windows 11 Home,"March 5, 2023",$249.99,Gateway GWTN156
6589cba58997406b55ed5ebc,AMD Ryzen 5 5600H,GeForce RTX 3050 4GB,16gb,15.6″,Full HD(1920 x 1080 pixels),5.4 lbs(2.45 kg),500gb SSD,14.06 x 10.7 x 1.06 inches,Windows 10 Home,"August 20, 2023",$799.00,Dell G15 5000 5515 15 Ryzen Edition
6589cba58997406b55ed5ebd,Intel Core i5-1235U,Intel UHD Graphics,8gb,16″,Full HD Plus(2160 x 1440 pixels),4.12 lbs(1.87 kg),500gb SSD,14.05 x 9.92 x 0.72 inches,Windows 11 Home,"July 25, 2022",$575.00,Dell Inspiron 16 5620 (R6HNP)
6589cba58997406b55ed5ebe,Intel Core i5-1335U,Intel Iris Xe,8gb,14″,Full HD Plus(2160 x 1440 pixels),3.09 lbs(1.4 kg),2000gb SSD,12.3 x 8.8 x 0.71 inches,Chrome OS,"April 29, 2023",$779.00,Acer Chromebook Spin 14″ (714)
6589cba58997406b55ed5ebf,AMD Ryzen 5 5500U,,16gb,15.6″,Full HD(1920 x 1080 pixels),3.75 lbs(1.7 kg),500gb SSD,14.37 x 9.45 x 0.74 inches,Windows 11 Pro,"October 8, 2021",$699.95,Lenovo ThinkPad 15″ (E15 Gen 3)
6589cba58997406b55ed5ec0,Intel Core i9-13980HX,GeForce RTX 4070,64gb,17″,Quad HD Plus(3200 x 1800 pixels),6.83 lbs(3.1 kg),2x 2000gb SSD,14.97 x 11.73 x 1.13 inches,Windows 11 Pro,"September 8, 2023","$4,249.00",EXcaliberPC MSI 17″ (Raider)
6589cba58997406b55ed5ec1,AMD Ryzen 7 5825U,,64gb,15.6″,Full HD(1920 x 1080 pixels),4 lbs(1.81 kg),2000gb SSD,14.11 x 9.27 x 0.83 inches,Windows 11 Pro,"August 5, 2023",$949.00,Dell Inspiron 3525 15″
6589cba58997406b55ed5ec2,Intel Core i7-1185G7,Intel Iris Xe,16gb,13.5″,2k(2256 x 1504 pixels),4 lbs(1.81 kg),250gb SSD,14 x 8 x 1 inches,Windows 10 Pro,"October 12, 2022",$799.00,Microsoft Surface Surface 4 13″ (Surface)
6589cba68997406b55ed5ec3,AMD Ryzen 9 6900HS,Radeon RX 6700S,24gb,14″,WQXGA(2560 x 1600 pixels),3.64 lbs(1.65 kg),1000gb SSD,12.76 x 8.74 x 0.7 inches,Windows 11 Pro,"March 1, 2022","$1,869.00",HIDevolution ASUS ROG Zephyrus G14 Advantage Edition GA402RJ (GA402RJ-G14.R96700-HID5P)
6589cba68997406b55ed5ec4,Intel Celeron N3350,Intel HD 500,4gb,14″,Full HD(1920 x 1080 pixels),3.58 lbs(1.62 kg),64gb SSD,13.27 x 8.94 x 0.7 inches,Chrome OS,"December 26, 2021",$239.99,HP Chromebook 14″
6589cba68997406b55ed5ec5,Intel Core i5-1155G7,GeForce GTX 1650,32gb,15.6″,Full HD(1920 x 1080 pixels),3.64 lbs(1.65 kg),4000gb SSD,14.4 x 9.2 x 0.63 inches,Windows 11,"September 15, 2022","$1,629.00",HIDevolution MSI Prestige 15 A11SC (MS-Prestige15048-HID10)
6589cba68997406b55ed5ec6,Intel Core i7-12700H,GeForce RTX 3070 Ti,32gb,17.3″,Full HD(1920 x 1080 pixels),6 lbs(2.72 kg),2x 500gb SSD,16 x 10 x 2 inches,Windows 10 Pro,"April 22, 2023","$3,679.00",Gigabyte AORUS 17 XE4
6589cba68997406b55ed5ec7,,,36gb,16.2″,Full HD(1920 x 1080 pixels),4.8 lbs(2.18 kg),1000gb SSD,14.01 x 9.77 x 0.66 inches,macOS,"October 31, 2023","$3,299.00",Apple MacBook M3 Max 16″ (MRW73LL/A)
6589cba68997406b55ed5ec8,Intel Core i7-1165G7,Intel Iris Xe,32gb,17.3″,HD Plus(1600 x 900 pixels),6 lbs(2.72 kg),2000gb SSD,16 x 10 x 0.8 inches,Windows 10 Pro,"November 6, 2023","$1,959.00",HP 17t-cn000
6589cba68997406b55ed5ec9,Intel Core i5-1135G7,Intel Iris Xe,16gb,14.1″,Full HD(1920 x 1080 pixels),4 lbs(1.81 kg),500gb SSD,,Windows 10 Home,"August 25, 2023",$399.00,Gateway GWTW 14″
6589cba68997406b55ed5eca,Intel Core i5-10210U,Intel UHD Graphics,20gb,14″,Full HD(1920 x 1080 pixels),3.3 lbs(1.5 kg),500gb SSD,12.88 x 9.49 x 0.78 inches,Windows 11 Home,"July 1, 2022",$649.00,Lenovo IdeaPad 14″
6589cba68997406b55ed5ecb,AMD Ryzen 5 5500U,,16gb,15.6″,Full HD(1920 x 1080 pixels),4.19 lbs(1.9 kg),500gb SSD,14.3 x 9.7 x 0.71 inches,Windows 11 Pro,"April 11, 2023",$699.99,Acer Aspire 5 15″ (NX.A84AA.005)
6589cba68997406b55ed5ecc,Intel Core i7-13700H,Intel Iris Xe,16gb,14.5″,WQXGA(2560 x 1600 pixels),3.44 lbs(1.56 kg),1000gb SSD,12.67 x 8.88 x 0.67 inches,Windows 11 Pro,"August 9, 2023",$910.00,ASUS Zenbook 14X (Q420V)
6589cba68997406b55ed5ecd,Intel Core i5-9300H,GeForce GTX 1650,16gb,15.6″,Full HD(1920 x 1080 pixels),5.29 lbs(2.4 kg),500gb SSD,14.29 x 10.02 x 0.94 inches,Windows 10 Home,"September 27, 2019",$849.00,Lenovo IdeaPad L340 15″ (IdeaPad L340)
6589cba68997406b55ed5ece,Intel Celeron N4020,,4gb,14″,HD(1366 x 768 pixels),,150gb SSD,12.76 x 8.86 x 0.7 inches,Windows 11,"August 7, 2022",$239.99,HP Stream 14″ (14 White)
6589cba68997406b55ed5ecf,Intel Core i5-1035G1,,12gb,15.6″,Full HD(1920 x 1080 pixels),3.93 lbs(1.78 kg),500gb SSD,,Windows 10 Home,"October 15, 2023",$655.00,Dell Inspiron 15 3000 (3501)
6589cba68997406b55ed5ed0,Intel Core i5-10500H,GeForce GTX 1650,16gb,15.6″,Full HD(1920 x 1080 pixels),4.1 lbs(1.86 kg),500gb SSD,14.14 x 10 x 0.86 inches,Windows 10 Pro,"July 28, 2023",$789.00,MSI GF63 15″ (10SCXR)
6589cba78997406b55ed5ed1,Intel Core i5-8250U,,8gb,15.6″,Full HD(1920 x 1080 pixels),4.63 lbs(2.1 kg),250gb SSD,14.59 x 10.04 x 0.74 inches,Windows 10 Home,"September 13, 2017",$885.43,Acer Swift 3 15″ (SF315-51-518S)
6589cba78997406b55ed5ed2,Intel Core i5-1245U,Intel UHD Graphics,8gb,15.6″,HD(1366 x 768 pixels),3.8 lbs(1.72 kg),250gb SSD,14 x 9.2 x 1 inches,Windows 10 Pro,"December 3, 2023",$879.99,Dell Latitude 15
6589cba78997406b55ed5ed3,Intel Core i7-10750H,GeForce RTX 2070,32gb,15.6″,Full HD(1920 x 1080 pixels),4.63 lbs(2.1 kg),2000gb SSD,14.29 x 10 x 0.78 inches,Windows 10 Home,"October 7, 2021","$1,799.00",Acer Predator 15″ (Triton)
6589cba78997406b55ed5ed5,Intel Core i7-13620H,GeForce RTX 3050 6GB,40gb,15.6″,Full HD(1920 x 1080 pixels),3.97 lbs(1.8 kg),2000gb SSD,14.03 x 9.26 x 0.79 inches,Windows 11 Home,"November 16, 2023","$1,369.00",ASUS Creator Q530 15″
6589cba78997406b55ed5ed4,Intel Core i3-1115G4,Intel UHD Graphics,12gb,15.6″,HD(1366 x 768 pixels),4.07 lbs(1.85 kg),500gb SSD,14.26 x 9.98 x 0.78 inches,Windows 11 Home,"September 12, 2022",$539.00,Lenovo IdeaPad 3 15″
6589cba78997406b55ed5ed6,AMD Ryzen 9 7940HS,GeForce RTX 4070,48gb,14″,WQXGA(2560 x 1600 pixels),3.64 lbs(1.65 kg),1000gb SSD,12.28 x 8.94 x 0.77 inches,Windows 11 Pro,"August 20, 2023","$2,409.00",HIDevolution 2023 ASUS ROG Zephyrus G14 GA402XI (GA402XI-G14.R94070-HID9P)
6589cba78997406b55ed5ed7,Intel Core i7-13620H,GeForce RTX 4070,32gb,15.6″,Full HD(1920 x 1080 pixels),5.07 lbs(2.3 kg),1000gb SSD,14.13 x 10.2 x 1.06 inches,Windows 11 Pro,"July 21, 2023","$1,599.00",EXcaliberPC MSI 15″ (Pulse 15 B13VGK-1262US)
6589cba78997406b55ed5ed8,Intel Core i7-12700H,GeForce RTX 3060,64gb,16″,Quad HD(2560 x 1440 pixels),5.95 lbs(2.7 kg),4000gb SSD,14.06 x 10.71 x 1.06 inches,Windows 11 Pro,"December 6, 2023","$1,549.00",Dell G16
6589cba78997406b55ed5ed9,Intel Core i5-1240P,GeForce GTX 1650,16gb,14″,Full HD(1920 x 1080 pixels),3.6 lbs(1.63 kg),8000gb SSD,12.56 x 8.62 x 0.63 inches,,"January 2, 2023","$2,379.00",HIDevolution MSI Prestige 14 A12SC Carbon Gray (MS-PRE1412008-HID5)
6589cba78997406b55ed5eda,Intel Core i5-12450H,GeForce GTX 1650,8gb,15.6″,Full HD(1920 x 1080 pixels),5.1 lbs(2.31 kg),1000gb SSD,14.09 x 10.4 x 0.93 inches,Windows 11,"March 14, 2023",$709.00,HP Victus 15″
6589cba78997406b55ed5edb,Apple M1 Pro 10 Core 3200 MHz,,16gb,14″,,,1000gb SSD,,macOS,"November 11, 2022","$2,778.00",Apple MacBook Pro 14″
6589cba78997406b55ed5edc,Intel Core i7-1365U,,16gb,15.6″,Full HD(1920 x 1080 pixels),5 lbs(2.27 kg),500gb SSD,14.1 x 9.19 x 0.82 inches,Windows 11 Pro,"July 10, 2023",,Dell Latitude 5540 15″ (Latitude 5540-CTO-110)
6589cba88997406b55ed5edd,,GeForce GT 130,4gb,16″,,7.7 lbs(3.49 kg),1000gb HDD,15.7 x 10.9 x 1.9 inches,Windows 7,"November 17, 2023","$2,999.00",ASUS VX5-A2W 16″
6589cba88997406b55ed5ede,Intel Core i3-1115G4,Intel UHD Graphics,8gb,14″,Full HD(1920 x 1080 pixels),3.31 lbs(1.5 kg),120gb SSD,12.88 x 9.49 x 0.78 inches,Windows 11 Home,"October 18, 2023",$305.97,Lenovo Ideapad 3i 14″ (Ideapad 3i)
6589cba88997406b55ed5edf,Intel Core i7-1255U,Intel Iris Xe,24gb,14″,Full HD(1920 x 1080 pixels),3.3 lbs(1.5 kg),500gb SSD,12.75 x 8.58 x 0.7 inches,Windows 11 Pro,"November 27, 2023","$1,109.99",Lenovo ThinkBook 14 G4
6589cba88997406b55ed5ee0,Intel Core i5-10500H,GeForce RTX 3060,8gb,15.6″,Full HD(1920 x 1080 pixels),4.2 lbs(1.91 kg),500gb SSD,14.1 x 10 x 0.84 inches,,"September 19, 2021",$799.99,MSI GF65 15″ (UE10)
6589cba88997406b55ed5ee1,Intel Core i7-13650HX,GeForce RTX 4060,32gb,16″,Full HD Plus(2160 x 1440 pixels),5.39 lbs(2.44 kg),1000gb SSD,13.94 x 10.2 x 0.89 inches,Windows 10 Pro,"September 2, 2023","$1,969.00",ASUS ROG Strix G16 (ROG Strix G16)
6589cba88997406b55ed5ee2,AMD Ryzen 9 5900HX,GeForce RTX 3070,16gb,15.6″,Full HD(1920 x 1080 pixels),5.5 lbs(2.49 kg),4000gb SSD,15 x 10 x 1 inches,Windows 11 Home,"June 5, 2023","$3,159.00",HP OMEN 15z-en100
6589cba88997406b55ed5ee3,Intel Core i7-13700H,GeForce RTX 4060,32gb,15.6″,Full HD(1920 x 1080 pixels),5.5 lbs(2.49 kg),1000gb SSD,14.16 x 10.43 x 0.99 inches,Windows 11 Home,"August 20, 2023","$1,274.96",Lenovo LOQ 15″ (IdeaPad)
6589cba88997406b55ed5ee4,Intel Core i5-1240P,GeForce RTX 4080,8gb,16″,Quad HD(2560 x 1440 pixels),3.75 lbs(1.7 kg),500gb SSD,14 x 9.8 x 0.84 inches,Chrome OS,"June 1, 2023",$629.98,Acer Chromebook 516 GE
6589cba88997406b55ed5ee5,Intel Core i7-13620H,GeForce RTX 4050,16gb,15.6″,Full HD(1920 x 1080 pixels),4.85 lbs(2.2 kg),1000gb SSD,14.13 x 10.2 x 0.98 inches,Windows 11,"May 17, 2023",$976.54,MSI Katana 15 (B13VEK-277US)
6589cba88997406b55ed5ee6,Intel Core i3-8130U,,4gb,14″,Full HD(1920 x 1080 pixels),3.53 lbs(1.6 kg),120gb SSD,12.7 x 9 x 0.7 inches,Windows 10 Home,"June 20, 2019",$349.00,Acer NX.GY1AA.001 14″
6589cba88997406b55ed5ee7,AMD Ryzen 7 PRO 5850U,,16gb,14″,Full HD(1920 x 1080 pixels),3 lbs(1.36 kg),500gb SSD,12.9 x 8.8 x 0.64 inches,,"December 28, 2022","$1,099.99",Lenovo ThinkPad T14s Gen 2 (20XF0076US)
6589cba88997406b55ed5ee8,Intel Core i5-1135G7,Intel UHD Graphics,16gb,15.6″,Full HD(1920 x 1080 pixels),4 lbs(1.81 kg),1000gb SSD,,Windows 11 Home,"September 18, 2023",$599.01,Dell Inspiron 3511 15″
6589cba98997406b55ed5ee9,Intel Core i9-12900H,GeForce RTX 3060,32gb,17.3″,Full HD(1920 x 1080 pixels),6.39 lbs(2.9 kg),2000gb SSD,15.63 x 11.18 x 1.02 inches,,"March 31, 2023","$1,579.99",MSI GE76 Raider 17″
6589cba98997406b55ed5eea,Intel Core i7-12800H,GeForce RTX 3060,16gb,17.3″,Quad HD(2560 x 1440 pixels),6.06 lbs(2.75 kg),1000gb SSD,15.55 x 10.23 x 0.78 inches,Windows 11,"June 27, 2022","$1,799.99",Razer Blade 17 (RZ09-0423EED3-R3U1)
6589cba98997406b55ed5eeb,Intel Core i5-1145G7,Intel UHD Graphics,16gb,14″,Full HD(1920 x 1080 pixels),4.61 lbs(2.09 kg),1000gb SSD,13.6 x 10.7 x 1.3 inches,Windows 11 Pro,"November 2, 2023","$3,359.00",Panasonic Toughbook FZ-55 14″
6589cba98997406b55ed5eec,AMD Ryzen 3 5300U,,4gb,14″,Full HD(1920 x 1080 pixels),3.3 lbs(1.5 kg),120gb SSD,12.66 x 8.56 x 0.82 inches,Windows 10,"June 3, 2022",$359.00,Lenovo Ideapad Flex 5 14″ (82H)
6589cba98997406b55ed5eed,Intel Core i7-12700H,GeForce RTX 3070 Ti,64gb,15.6″,Quad HD(2560 x 1440 pixels),5.3 lbs(2.4 kg),4000gb SSD,14.2 x 9.62 x 1.1 inches,Windows 11 Pro,"March 4, 2023","$4,599.00",Gigabyte AORUS 15 (XE4-73USB14SH-6591-226399)
6589cba98997406b55ed5eee,Intel Core i5-10500H,GeForce RTX 3060,8gb,15.6″,Full HD(1920 x 1080 pixels),,500gb SSD,14.13 x 9.99 x 0.85 inches,Windows 11,"September 17, 2021",$917.00,MSI GF65 15″ (213)
6589cba98997406b55ed5ef1,AMD Ryzen 7 5825U,,24gb,15.6″,Full HD(1920 x 1080 pixels),5.9 lbs(2.68 kg),500gb SSD,14.37 x 9.44 x 0.74 inches,Windows 11 Pro,"October 18, 2023",$855.08,Lenovo ThinkPad E15 Gen 4 (ThinkPad)
6589cba98997406b55ed5ef2,Intel Core i9-12950HX,RTX A3000 12GB,32gb,17.3″,Full HD(1920 x 1080 pixels),10.71 lbs(4.86 kg),500gb SSD,15.67 x 10.44 x 1.06 inches,Windows 11 Pro,"October 20, 2023","$3,950.00",Dell Precision 7770 17″ (7770/cto)
6589cba98997406b55ed5eef,Intel Core i3-1125G4,,32gb,14″,Full HD(1920 x 1080 pixels),3.24 lbs(1.47 kg),1000gb SSD,12.76 x 8.86 x 0.71 inches,Windows 11,"September 27, 2023",$549.00,HP 14 i3
6589cba98997406b55ed5ef0,Intel Core i5-1135G7,Intel Iris Xe,12gb,15.6″,Full HD(1920 x 1080 pixels),,250gb SSD,14.11 x 9.27 x 0.74 inches,Windows 11 Home,"February 16, 2022",$476.41,Dell Inspiron 15 3511 (i3511-5774BLK-PUS)
6589cba98997406b55ed5ef3,AMD Ryzen 7 5800HS,GeForce RTX 3060,16gb,14″,Full HD(1920 x 1080 pixels),3.53 lbs(1.6 kg),500gb SSD,12.76 x 8.74 x 0.7 inches,Windows 11 Home,"September 7, 2023","$1,099.99",ASUS ROG Zephyrus G14 (ROG Zephyrus)
6589cba98997406b55ed5ef4,Intel Core i7-12700H,GeForce RTX 3070 Ti,32gb,17.3″,Quad HD(2560 x 1440 pixels),,1000gb SSD,,Windows 11 Home,"July 25, 2022","$2,649.99",Eluktronics Prometheus XVII 17″ (Prometheus XVII)
6589cbaa8997406b55ed5ef5,Intel Celeron N4120,Intel UHD Graphics 600,8gb,14″,HD(1366 x 768 pixels),3.24 lbs(1.47 kg),64gb SSD,,Windows 11 Home,"October 12, 2023",$269.89,HP 14in
6589cbaa8997406b55ed5ef6,Intel Core i7-1355U,,64gb,17.3″,HD Plus(1600 x 900 pixels),5.25 lbs(2.38 kg),1000gb SSD,15.78 x 10.15 x 0.78 inches,Windows 11 Home,"October 3, 2023",$969.00,HP TPN-I139 17″
6589cbaa8997406b55ed5ef7,Intel Core i3-1215U,Intel Iris Xe,8gb,14″,Full HD(1920 x 1080 pixels),2.62 lbs(1.19 kg),1000gb SSD,12.68 x 8.74 x 0.63 inches,Windows 11 Home,"June 7, 2023",$579.00,HIDevolution 2023 MSI Modern 14 C12M Classic Black (MS-MOD1412495-HID2)
6589cbaa8997406b55ed5ef8,Intel Core i7-1355U,GeForce MX550,64gb,15.6″,Full HD(1920 x 1080 pixels),3.86 lbs(1.75 kg),1000gb SSD,14.18 x 9.21 x 0.7 inches,Windows 11 Pro,"August 18, 2023","$1,187.00",HP Pavilion 15″ (TPN-Q24578GAV65W)
6589cbaa8997406b55ed5ef9,Intel Core i7 Series,,,12.3″,,,1000gb SSD,11.5 x 7.9 x 0.33 inches,Windows 10 Pro,"May 4, 2022","$1,400.99",Microsoft Surface Pro 7 12″ (1NG-00001)
6589cbaa8997406b55ed5efa,Intel Celeron N4020,,4gb,14″,Full HD(1920 x 1080 pixels),2.87 lbs(1.3 kg),64gb SSD,12.8 x 8.5 x 0.72 inches,Windows 10 Home,"July 29, 2020",$198.00,ASUS L410 MA-DB02 14″
6589cbaa8997406b55ed5efb,Intel Core i3-1125G4,,32gb,17.3″,HD Plus(1600 x 900 pixels),6.5 lbs(2.95 kg),1000gb SSD,15.78 x 10.15 x 0.78 inches,Windows 11 Pro,"October 29, 2023",$629.00,HP 17
6589cbaa8997406b55ed5efc,AMD Ryzen 5 5625U,,32gb,15.6″,Full HD(1920 x 1080 pixels),3.75 lbs(1.7 kg),1000gb SSD,14.13 x 9.02 x 0.73 inches,Windows 11,"January 19, 2023",$859.99,HP Envy X360 2-in-1 15″ (15-ey0013dx)
6589cbaa8997406b55ed5efd,Intel Core i7-12700H,GeForce RTX 3070 Ti,32gb,17.3″,Full HD(1920 x 1080 pixels),6.39 lbs(2.9 kg),2000gb SSD,15.63 x 10.57 x 1.08 inches,Windows 11 Home,"August 19, 2023","$1,849.00",HIDevolution 2023 MSI Vector GP76 12UGS 17″ (MS-GP7612608-HID1)
6589cbaa8997406b55ed5efe,AMD Ryzen 9 5900HX,GeForce RTX 3070,64gb,15.6″,Full HD(1920 x 1080 pixels),5.5 lbs(2.49 kg),4000gb SSD,15 x 10 x 1 inches,Windows 11 Home,"July 17, 2023","$3,879.00",HP OMEN 15z-en100
6589cbaa8997406b55ed5eff,,Integrated graphics,4gb,14″,Full HD(1920 x 1080 pixels),2.87 lbs(1.3 kg),120gb SSD,12.83 x 8.73 x 0.73 inches,Windows 8,"August 17, 2023",$215.99,Lenovo Ideapad 14″
6589cbaa8997406b55ed5f00,Intel Core i7-11800H,GeForce RTX 3070,16gb,15.6″,Full HD(1920 x 1080 pixels),4.8 lbs(2.18 kg),4000gb SSD,14 x 9.6 x 1.06 inches,Windows 10 Home,"July 17, 2023","$3,059.00",Gigabyte AORUS 15P
6589cbaa8997406b55ed5f01,Intel Core i7-7500U,GeForce 940MX,12gb,15.6″,Full HD(1920 x 1080 pixels),5 lbs(2.27 kg),2000gb HDD,14.9 x 9.9 x 0.7 inches,Windows 10 Home,"June 7, 2017",$799.00,ASUS convertible 15″ (7.59755E+11)
6589cbaa8997406b55ed5f02,Intel Core i7-1260P,Intel Iris Graphics,32gb,16″,WUXGA(1920 x 1200 pixels),5.1 lbs(2.31 kg),1000gb SSD,14.2 x 10.1 x 0.81 inches,Windows 11 Pro,"March 3, 2022","$1,499.99",Lenovo ThinkPad T16 (ThinkPad T16 Gen 1)
6589cbab8997406b55ed5f03,Intel Core i9-12900H,GeForce RTX 3070 Ti,16gb,16″,WQXGA(2560 x 1600 pixels),4.9 lbs(2.22 kg),4000gb SSD,14 x 9.75 x 1 inches,Windows 11 Home,"November 1, 2023","$3,240.00",ASUS ROG Zephyrus GU603 16″
6589cbab8997406b55ed5f04,Intel Core i3-1115G4,,20gb,15.6″,HD(1366 x 768 pixels),4.07 lbs(1.85 kg),500gb SSD,14.26 x 9.98 x 0.78 inches,Windows 11 Home,"August 6, 2022",$589.00,Lenovo IdeaPad 3 15″
6589cbab8997406b55ed5f06,AMD Ryzen 3 3250U,,16gb,14″,Full HD(1920 x 1080 pixels),,500gb SSD,12.9 x 8.7 x 0.7 inches,Windows 11 Home,"June 10, 2023",$398.88,HP 14
6589cbab8997406b55ed5f05,Intel Celeron N4020,Intel UHD Graphics,8gb,15.6″,HD(1366 x 768 pixels),3.97 lbs(1.8 kg),120gb SSD,14.33 x 9.8 x 0.78 inches,Windows 11,"February 24, 2022",$418.58,Dell Inspiron 15″ (3510)
6589cbab8997406b55ed5f07,AMD Ryzen 9 6900HS,GeForce RTX 3060,24gb,15.6″,Quad HD(2560 x 1440 pixels),4.21 lbs(1.91 kg),500gb SSD,13.97 x 9.59 x 0.78 inches,,"April 30, 2022","$1,779.00",HIDevolution ASUS ROG Zephyrus G15 GA503RM (GA503RM-G15.R93060-HID7)
6589cbab8997406b55ed5f08,Intel Core i3-1125G4,Intel UHD Graphics,16gb,17.3″,HD Plus(1600 x 900 pixels),4.6 lbs(2.09 kg),1000gb SSD,15.78 x 10.15 x 0.78 inches,Windows 11 Home,"June 8, 2023",$569.99,HP 17 (cn0003dx)
6589cbab8997406b55ed5f09,AMD A6-9225,Radeon R4,4gb,15.6″,HD(1366 x 768 pixels),4.1 lbs(1.86 kg),1000gb HDD,,Windows 10 Home,"September 13, 2020",$399.00,Lenovo 81N3009BUS 15″
6589cbab8997406b55ed5f0a,Intel Pentium Silver N5030,Intel UHD Graphics 605,8gb,11.6″,HD(1366 x 768 pixels),3.4 lbs(1.54 kg),1000gb SSD,11.81 x 8.27 x 0.89 inches,Windows 11 Pro,"November 3, 2023",$569.00,Lenovo ThinkPad Yoga 11e Gen 5 2-in-1
6589cbab8997406b55ed5f0b,Intel Core i5-10210U,,8gb,13.3″,,4 lbs(1.81 kg),250gb SSD,12.3 x 8.6 x 0.7 inches,,"March 10, 2020",$599.00,Lenovo ThinkPad L13 (20R3000MUS)
